"","journal","category2","journalimpactfactor","hindex","journalcountry","publisher","coverage","eigenfactorscore","whoregionjournal","unregionjournal","worldbankregionjournal","economicjournal","Genderinequalityindex2019","gender_unknown","gender_numerator","gender_denominator","unknown_denominator","gender_pct","unknown_pct","gender_neat","unknown_neat","AB_num","AB_den","AB_pct","AB_neat","EiC_num","EiC_den","EiC_pct","EiC_neat","EB_num","EB_den","EB_pct","EB_neat","EL_num","EL_den","EL_pct","EL_neat","EC_num","EC_den","EC_pct","EC_neat","WHO_AF_n","WHO_AF_pct","WHO_AF_neat","WHO_AM_n","WHO_AM_pct","WHO_AM_neat","WHO_EM_n","WHO_EM_pct","WHO_EM_neat","WHO_EU_n","WHO_EU_pct","WHO_EU_neat","WHO_SEA_n","WHO_SEA_pct","WHO_SEA_neat","WHO_unknown_n","WHO_unknown_pct","WHO_unknown_neat","WHO_WP_n","WHO_WP_pct","WHO_WP_neat","HIC_n","HIC_pct","HIC_neat","LIC_n","LIC_pct","LIC_neat","LMIC_n","LMIC_pct","LMIC_neat","eco_unknown_n","eco_unknown_pct","eco_unknown_neat","UMIC_n","UMIC_pct","UMIC_neat","WB_EAP_n","WB_EAP_pct","WB_EAP_neat","WB_ECA_n","WB_ECA_pct","WB_ECA_neat","WB_LAC_n","WB_LAC_pct","WB_LAC_neat","WB_MENA_n","WB_MENA_pct","WB_MENA_neat","WB_NA_n","WB_NA_pct","WB_NA_neat","WB_SA_n","WB_SA_pct","WB_SA_neat","WB_SSA_n","WB_SSA_pct","WB_SSA_neat","WB_unknown_n","WB_unknown_pct","WB_unknown_neat","UN_AF_n","UN_AF_pct","UN_AF_neat","UN_AP_n","UN_AP_pct","UN_AP_neat","UN_EE_n","UN_EE_pct","UN_EE_neat","UN_LAC_n","UN_LAC_pct","UN_LAC_neat","UN_unknown_n","UN_unknown_pct","UN_unknown_neat","UN_WEO_n","UN_WEO_pct","UN_WEO_neat"
"566","Sustainability Science","Environment","5.301",54,"Japan","Springer Japan","2006-2020",0.00448,"Western Pacific","Asia and Pacific","East Asia and Pacific","High-income",".094",0,32,129,129,"24%","0%","24% (32)","0% (0)","4","26","15.4%","15.4% (4)","0","1","0.0%","0.0% (0)","28","103","27.2%","27.2% (28)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,"10","7.8%","7.8% (10)","22","17.1%","17.1% (22)",NA,NA,NA,"49","38.0%","38.0% (49)","3","2.3%","2.3% (3)",NA,NA,NA,"45","34.9%","34.9% (45)","113","87.6%","87.6% (113)","1","0.8%","0.8% (1)","8","6.2%","6.2% (8)",NA,NA,NA,"7","5.4%","5.4% (7)","47","36.4%","36.4% (47)","49","38.0%","38.0% (49)",NA,NA,NA,NA,NA,NA,"22","17.1%","17.1% (22)","1","0.8%","0.8% (1)","10","7.8%","7.8% (10)",NA,NA,NA,"10","7.8%","7.8% (10)","40","31.0%","31.0% (40)","1","0.8%","0.8% (1)",NA,NA,NA,NA,NA,NA,"78","60.5%","60.5% (78)"
"567","Sustainable Chemistry and Pharmacy","Environment","3.294",19,"Netherlands","Elsevier BV","2015-2020",0.00072,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,8,39,39,"20%","0%","20% (8)","0% (0)","7","35","20.0%","20.0% (7)","0","1","0.0%","0.0% (0)","1","4","25.0%","25.0% (1)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,"1","2.6%","2.6% (1)","7","17.9%","17.9% (7)","1","2.6%","2.6% (1)","23","59.0%","59.0% (23)","2","5.1%","5.1% (2)",NA,NA,NA,"5","12.8%","12.8% (5)","32","82.1%","82.1% (32)",NA,NA,NA,"3","7.7%","7.7% (3)",NA,NA,NA,"4","10.3%","10.3% (4)","5","12.8%","12.8% (5)","23","59.0%","59.0% (23)","2","5.1%","5.1% (2)","1","2.6%","2.6% (1)","5","12.8%","12.8% (5)","2","5.1%","5.1% (2)","1","2.6%","2.6% (1)",NA,NA,NA,"2","5.1%","5.1% (2)","6","15.4%","15.4% (6)",NA,NA,NA,"2","5.1%","5.1% (2)",NA,NA,NA,"29","74.4%","74.4% (29)"
"568","Sustainable Production and Consumption","Environment","3.66",26,"Netherlands","Elsevier BV","2015-2021",0.00108,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,7,27,27,"26%","0%","26% (7)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","7","27","25.9%","25.9% (7)","1","1","100.0%","100.0% (1)",NA,NA,NA,NA,NA,NA,NA,"3","11.1%","11.1% (3)",NA,NA,NA,"13","48.1%","48.1% (13)","3","11.1%","11.1% (3)",NA,NA,NA,"8","29.6%","29.6% (8)","18","66.7%","66.7% (18)",NA,NA,NA,"1","3.7%","3.7% (1)",NA,NA,NA,"8","29.6%","29.6% (8)","11","40.7%","40.7% (11)","13","48.1%","48.1% (13)",NA,NA,NA,NA,NA,NA,"3","11.1%","11.1% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","40.7%","40.7% (11)","1","3.7%","3.7% (1)",NA,NA,NA,NA,NA,NA,"15","55.6%","55.6% (15)"
"569","The Science of Diabetes Self-Management and Care","PEO Health","2.087",74,"United States","SAGE Publications Inc.","1979-2020",0.00211,"Americas","Western European and Other","North America","High-income",".204",0,10,13,13,"76%","0%","76% (10)","0% (0)","9","11","81.8%","81.8% (9)","0","1","0.0%","0.0% (0)","1","2","50.0%","50.0% (1)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","100.0%","100.0% (13)"
"570","The Southeast Asian Journal of Tropical Medicine and Public Health","PEO Health",".245",51,"Thailand","Southeast Asian Ministers of Education Organisation","1971-2019",0.00136,"South-East Asia","Asia and Pacific","East Asia and Pacific","Upper-middle-income",".359",1,5,23,24,"22%","4%","22% (5)","4% (1)","3","11","27.3%","27.3% (3)","0","1","0.0%","0.0% (0)","2","12","16.7%","16.7% (2)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"4","16.7%","16.7% (4)",NA,NA,NA,"1","4.2%","4.2% (1)","8","33.3%","33.3% (8)",NA,NA,NA,"11","45.8%","45.8% (11)","7","29.2%","29.2% (7)",NA,NA,NA,"5","20.8%","20.8% (5)",NA,NA,NA,"12","50.0%","50.0% (12)","19","79.2%","79.2% (19)","1","4.2%","4.2% (1)",NA,NA,NA,NA,NA,NA,"4","16.7%","16.7% (4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","79.2%","79.2% (19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","20.8%","20.8% (5)"
"571","TOBACCO CONTROL","PEO Health","6.726",122,"United Kingdom","BMJ Publishing Group","1996-2020",0.0186,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,28,60,60,"46%","0%","46% (28)","0% (0)","7","19","36.8%","36.8% (7)","1","1","100.0%","100.0% (1)","21","41","51.2%","51.2% (21)","11","15","73.3%","73.3% (11)",NA,NA,NA,NA,"4","6.7%","6.7% (4)","30","50.0%","50.0% (30)","2","3.3%","3.3% (2)","7","11.7%","11.7% (7)","3","5.0%","5.0% (3)",NA,NA,NA,"14","23.3%","23.3% (14)","46","76.7%","76.7% (46)",NA,NA,NA,"3","5.0%","5.0% (3)",NA,NA,NA,"11","18.3%","18.3% (11)","15","25.0%","25.0% (15)","7","11.7%","11.7% (7)","4","6.7%","6.7% (4)","2","3.3%","3.3% (2)","26","43.3%","43.3% (26)","2","3.3%","3.3% (2)","4","6.7%","6.7% (4)",NA,NA,NA,"4","6.7%","6.7% (4)","8","13.3%","13.3% (8)",NA,NA,NA,"4","6.7%","6.7% (4)",NA,NA,NA,"44","73.3%","73.3% (44)"
"572","Tobacco Induced Diseases","PEO Health","1.434",27,"United Kingdom","BioMed Central Ltd.","2009-2020",0.00164,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",1,10,40,41,"24%","2%","24% (10)","2% (1)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","10","40","25.0%","25.0% (10)","1","6","16.7%","16.7% (1)",NA,NA,NA,NA,"3","7.3%","7.3% (3)","10","24.4%","24.4% (10)","1","2.4%","2.4% (1)","18","43.9%","43.9% (18)","1","2.4%","2.4% (1)",NA,NA,NA,"8","19.5%","19.5% (8)","35","85.4%","85.4% (35)",NA,NA,NA,"1","2.4%","2.4% (1)",NA,NA,NA,"5","12.2%","12.2% (5)","8","19.5%","19.5% (8)","18","43.9%","43.9% (18)",NA,NA,NA,"1","2.4%","2.4% (1)","10","24.4%","24.4% (10)","1","2.4%","2.4% (1)","3","7.3%","7.3% (3)",NA,NA,NA,"3","7.3%","7.3% (3)","10","24.4%","24.4% (10)","3","7.3%","7.3% (3)",NA,NA,NA,NA,NA,NA,"25","61.0%","61.0% (25)"
"573","Tourism Management","Environment","7.432",199,"United Kingdom","Elsevier Ltd.","1982-2021",0.01421,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,23,87,87,"26%","0%","26% (23)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","23","87","26.4%","26.4% (23)","2","4","50.0%","50.0% (2)",NA,NA,NA,NA,NA,NA,NA,"28","32.2%","32.2% (28)",NA,NA,NA,"30","34.5%","34.5% (30)",NA,NA,NA,NA,NA,NA,"29","33.3%","33.3% (29)","81","93.1%","93.1% (81)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6.9%","6.9% (6)","29","33.3%","33.3% (29)","28","32.2%","32.2% (28)","1","1.1%","1.1% (1)","2","2.3%","2.3% (2)","27","31.0%","31.0% (27)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","24.1%","24.1% (21)",NA,NA,NA,"1","1.1%","1.1% (1)",NA,NA,NA,"65","74.7%","74.7% (65)"
"574","TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY","Environment","1.05",38,"United Kingdom","Taylor and Francis Ltd.","1979-2020",0.00118,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",7,40,123,130,"32%","5%","32% (40)","5% (7)","0","5","0.0%","0.0% (0)","0","1","0.0%","0.0% (0)","40","118","33.9%","33.9% (40)","9","49","18.4%","18.4% (9)",NA,NA,NA,NA,"4","3.1%","3.1% (4)","86","66.2%","66.2% (86)",NA,NA,NA,"24","18.5%","18.5% (24)",NA,NA,NA,NA,NA,NA,"16","12.3%","12.3% (16)","112","86.2%","86.2% (112)","1","0.8%","0.8% (1)","1","0.8%","0.8% (1)",NA,NA,NA,"16","12.3%","12.3% (16)","16","12.3%","12.3% (16)","24","18.5%","18.5% (24)","4","3.1%","3.1% (4)",NA,NA,NA,"82","63.1%","63.1% (82)",NA,NA,NA,"4","3.1%","3.1% (4)",NA,NA,NA,"4","3.1%","3.1% (4)","12","9.2%","9.2% (12)",NA,NA,NA,"4","3.1%","3.1% (4)",NA,NA,NA,"110","84.6%","84.6% (110)"
"575","Toxicology and Industrial Health","PEO Health","1.708",57,"United Kingdom","SAGE Publications Ltd","1985-2020",0.00237,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,4,23,23,"18%","0%","18% (4)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","4","23","17.4%","17.4% (4)","1","8","12.5%","12.5% (1)",NA,NA,NA,NA,NA,NA,NA,"16","69.6%","69.6% (16)",NA,NA,NA,"4","17.4%","17.4% (4)",NA,NA,NA,NA,NA,NA,"3","13.0%","13.0% (3)","20","87.0%","87.0% (20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","13.0%","13.0% (3)","3","13.0%","13.0% (3)","4","17.4%","17.4% (4)",NA,NA,NA,NA,NA,NA,"16","69.6%","69.6% (16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","13.0%","13.0% (3)","1","4.3%","4.3% (1)",NA,NA,NA,NA,NA,NA,"19","82.6%","82.6% (19)"
"576","Toxics","Environment","3.271",25,"Switzerland","MDPI AG","2013-2020",0.00165,"Europe","Western European and Other","Europe and Central Asia","High-income",NA,3,35,155,158,"22%","2%","22% (35)","2% (3)",NA,NA,NA,NA,"0","5","0.0%","0.0% (0)","35","155","22.6%","22.6% (35)","0","5","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"54","34.2%","34.2% (54)",NA,NA,NA,"77","48.7%","48.7% (77)",NA,NA,NA,NA,NA,NA,"27","17.1%","17.1% (27)","145","91.8%","91.8% (145)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","8.2%","8.2% (13)","27","17.1%","17.1% (27)","77","48.7%","48.7% (77)",NA,NA,NA,NA,NA,NA,"54","34.2%","34.2% (54)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","15.2%","15.2% (24)","2","1.3%","1.3% (2)",NA,NA,NA,NA,NA,NA,"132","83.5%","83.5% (132)"
"577","Traffic Injury Prevention","PEO Health","1.38",51,"United Kingdom","Taylor and Francis Ltd.","2002-2020",0.0047,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,5,15,15,"34%","0%","34% (5)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","5","15","33.3%","33.3% (5)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"11","73.3%","73.3% (11)",NA,NA,NA,"3","20.0%","20.0% (3)",NA,NA,NA,NA,NA,NA,"1","6.7%","6.7% (1)","15","100.0%","100.0% (15)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6.7%","6.7% (1)","3","20.0%","20.0% (3)",NA,NA,NA,NA,NA,NA,"11","73.3%","73.3% (11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","100.0%","100.0% (15)"
"578","Transactions of the Royal Society of Tropical Medicine and Hygiene","PEO Health","1.868",105,"United Kingdom","Oxford University Press","1907-2020",0.00564,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,16,48,48,"34%","0%","34% (16)","0% (0)","2","7","28.6%","28.6% (2)","0","1","0.0%","0.0% (0)","14","41","34.1%","34.1% (14)","7","22","31.8%","31.8% (7)",NA,NA,NA,NA,NA,NA,NA,"15","31.2%","31.2% (15)","1","2.1%","2.1% (1)","16","33.3%","33.3% (16)","6","12.5%","12.5% (6)",NA,NA,NA,"10","20.8%","20.8% (10)","35","72.9%","72.9% (35)",NA,NA,NA,"6","12.5%","12.5% (6)","1","2.1%","2.1% (1)","6","12.5%","12.5% (6)","12","25.0%","25.0% (12)","16","33.3%","33.3% (16)","3","6.2%","6.2% (3)","1","2.1%","2.1% (1)","12","25.0%","25.0% (12)","4","8.3%","8.3% (4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","25.0%","25.0% (12)","1","2.1%","2.1% (1)","3","6.2%","6.2% (3)",NA,NA,NA,"32","66.7%","66.7% (32)"
"579","Translational Behavioral Medicine","PEO Health","2.864",39,"United States","Springer Publishing Company","2011-2020",0.0046,"Americas","Western European and Other","North America","High-income",".204",0,26,43,43,"60%","0%","60% (26)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","26","43","60.5%","60.5% (26)","10","18","55.6%","55.6% (10)",NA,NA,NA,NA,NA,NA,NA,"39","90.7%","90.7% (39)",NA,NA,NA,"3","7.0%","7.0% (3)",NA,NA,NA,NA,NA,NA,"1","2.3%","2.3% (1)","43","100.0%","100.0% (43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.3%","2.3% (1)","3","7.0%","7.0% (3)",NA,NA,NA,NA,NA,NA,"39","90.7%","90.7% (39)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","100.0%","100.0% (43)"
"580","Transnational Environmental Law","Environment","2.641",18,"United Kingdom","Cambridge University Press","2012-2020",0.00053,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,14,31,31,"46%","0%","46% (14)","0% (0)","10","25","40.0%","40.0% (10)","1","2","50.0%","50.0% (1)","4","6","66.7%","66.7% (4)","1","2","50.0%","50.0% (1)",NA,NA,NA,NA,"1","3.2%","3.2% (1)","14","45.2%","45.2% (14)",NA,NA,NA,"9","29.0%","29.0% (9)","2","6.5%","6.5% (2)",NA,NA,NA,"5","16.1%","16.1% (5)","28","90.3%","90.3% (28)",NA,NA,NA,"1","3.2%","3.2% (1)",NA,NA,NA,"2","6.5%","6.5% (2)","6","19.4%","19.4% (6)","9","29.0%","29.0% (9)",NA,NA,NA,NA,NA,NA,"14","45.2%","45.2% (14)","1","3.2%","3.2% (1)","1","3.2%","3.2% (1)",NA,NA,NA,"1","3.2%","3.2% (1)","3","9.7%","9.7% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","87.1%","87.1% (27)"
"581","Transportation Research Part D-Transport And Environment","Environment","4.577",99,"United Kingdom","Elsevier Ltd.","1996-2020",0.01215,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",6,12,68,74,"18%","8%","18% (12)","8% (6)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","12","68","17.6%","17.6% (12)","3","16","18.8%","18.8% (3)",NA,NA,NA,NA,NA,NA,NA,"42","56.8%","56.8% (42)","1","1.4%","1.4% (1)","15","20.3%","20.3% (15)","1","1.4%","1.4% (1)",NA,NA,NA,"15","20.3%","20.3% (15)","63","85.1%","85.1% (63)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","14.9%","14.9% (11)","16","21.6%","21.6% (16)","15","20.3%","20.3% (15)",NA,NA,NA,"1","1.4%","1.4% (1)","42","56.8%","56.8% (42)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","18.9%","18.9% (14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","81.1%","81.1% (60)"
"582","Travel Medicine and Infectious Disease","PEO Health","4.589",48,"United States","Elsevier USA","2003-2020",0.00434,"Americas","Western European and Other","North America","High-income",".204",1,22,64,65,"34%","2%","34% (22)","2% (1)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","22","64","34.4%","34.4% (22)","3","9","33.3%","33.3% (3)",NA,NA,NA,NA,"1","1.5%","1.5% (1)","16","24.6%","24.6% (16)","1","1.5%","1.5% (1)","38","58.5%","58.5% (38)","1","1.5%","1.5% (1)",NA,NA,NA,"8","12.3%","12.3% (8)","55","84.6%","84.6% (55)",NA,NA,NA,"1","1.5%","1.5% (1)",NA,NA,NA,"9","13.8%","13.8% (9)","9","13.8%","13.8% (9)","38","58.5%","58.5% (38)","4","6.2%","6.2% (4)","1","1.5%","1.5% (1)","12","18.5%","18.5% (12)",NA,NA,NA,"1","1.5%","1.5% (1)",NA,NA,NA,"1","1.5%","1.5% (1)","4","6.2%","6.2% (4)","1","1.5%","1.5% (1)","4","6.2%","6.2% (4)",NA,NA,NA,"55","84.6%","84.6% (55)"
"583","Trends in Environmental Analytical Chemistry","Environment","7.059",25,"Netherlands","Elsevier BV","2014-2020",0.00074,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,4,6,6,"66%","0%","66% (4)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","4","6","66.7%","66.7% (4)","1","1","100.0%","100.0% (1)",NA,NA,NA,NA,NA,NA,NA,"2","33.3%","33.3% (2)",NA,NA,NA,"2","33.3%","33.3% (2)",NA,NA,NA,NA,NA,NA,"2","33.3%","33.3% (2)","4","66.7%","66.7% (4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","33.3%","33.3% (2)","2","33.3%","33.3% (2)","2","33.3%","33.3% (2)","1","16.7%","16.7% (1)",NA,NA,NA,"1","16.7%","16.7% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","33.3%","33.3% (2)",NA,NA,NA,"1","16.7%","16.7% (1)",NA,NA,NA,"3","50.0%","50.0% (3)"
"584","Tropical Doctor","PEO Health",".523",34,"United Kingdom","SAGE Publications Ltd","1971-2020",8e-04,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",1,3,6,7,"50%","14%","50% (3)","14% (1)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","3","6","50.0%","50.0% (3)","1","4","25.0%","25.0% (1)",NA,NA,NA,NA,"3","42.9%","42.9% (3)",NA,NA,NA,"1","14.3%","14.3% (1)","3","42.9%","42.9% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","42.9%","42.9% (3)","2","28.6%","28.6% (2)","2","28.6%","28.6% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","42.9%","42.9% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","14.3%","14.3% (1)","3","42.9%","42.9% (3)",NA,NA,NA,"3","42.9%","42.9% (3)","1","14.3%","14.3% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","42.9%","42.9% (3)"
"585","Tropical Medicine and International Health","PEO Health","2.308",114,"United Kingdom","Wiley-Blackwell Publishing Ltd","1996-2020",0.01141,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,10,50,50,"20%","0%","20% (10)","0% (0)",NA,NA,NA,NA,NA,NA,NA,NA,"10","50","20.0%","20.0% (10)","2","6","33.3%","33.3% (2)",NA,NA,NA,NA,"4","8.0%","8.0% (4)","5","10.0%","10.0% (5)",NA,NA,NA,"34","68.0%","68.0% (34)","5","10.0%","10.0% (5)",NA,NA,NA,"2","4.0%","4.0% (2)","39","78.0%","78.0% (39)",NA,NA,NA,"6","12.0%","12.0% (6)",NA,NA,NA,"5","10.0%","10.0% (5)","4","8.0%","8.0% (4)","34","68.0%","68.0% (34)","2","4.0%","4.0% (2)",NA,NA,NA,"3","6.0%","6.0% (3)","3","6.0%","6.0% (3)","4","8.0%","8.0% (4)",NA,NA,NA,"4","8.0%","8.0% (4)","7","14.0%","14.0% (7)",NA,NA,NA,"2","4.0%","4.0% (2)",NA,NA,NA,"37","74.0%","74.0% (37)"
"586","Urban Climate","Environment","3.834",43,"Netherlands","Elsevier BV","2012-2020",0.00413,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,11,47,47,"24%","0%","24% (11)","0% (0)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","11","47","23.4%","23.4% (11)","3","11","27.3%","27.3% (3)",NA,NA,NA,NA,NA,NA,NA,"21","44.7%","44.7% (21)","1","2.1%","2.1% (1)","15","31.9%","31.9% (15)","5","10.6%","10.6% (5)",NA,NA,NA,"5","10.6%","10.6% (5)","37","78.7%","78.7% (37)",NA,NA,NA,"1","2.1%","2.1% (1)",NA,NA,NA,"9","19.1%","19.1% (9)","9","19.1%","19.1% (9)","15","31.9%","31.9% (15)","3","6.4%","6.4% (3)","1","2.1%","2.1% (1)","18","38.3%","38.3% (18)","1","2.1%","2.1% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","21.3%","21.3% (10)","2","4.3%","4.3% (2)","3","6.4%","6.4% (3)",NA,NA,NA,"32","68.1%","68.1% (32)"
"587","Urban Forestry & Urban Greening","Environment","4.021",74,"Germany","Urban und Fischer Verlag GmbH und Co. KG","2002-2020",0.00726,"Europe","Western European and Other","Europe and Central Asia","High-income",".084",0,19,54,54,"36%","0%","36% (19)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","19","54","35.2%","35.2% (19)","7","18","38.9%","38.9% (7)",NA,NA,NA,NA,"1","1.9%","1.9% (1)","14","25.9%","25.9% (14)",NA,NA,NA,"31","57.4%","57.4% (31)","1","1.9%","1.9% (1)",NA,NA,NA,"7","13.0%","13.0% (7)","49","90.7%","90.7% (49)",NA,NA,NA,"1","1.9%","1.9% (1)",NA,NA,NA,"4","7.4%","7.4% (4)","7","13.0%","13.0% (7)","31","57.4%","57.4% (31)","2","3.7%","3.7% (2)",NA,NA,NA,"12","22.2%","22.2% (12)","1","1.9%","1.9% (1)","1","1.9%","1.9% (1)",NA,NA,NA,"1","1.9%","1.9% (1)","4","7.4%","7.4% (4)","2","3.7%","3.7% (2)","2","3.7%","3.7% (2)",NA,NA,NA,"45","83.3%","83.3% (45)"
"588","Urban Policy and Research","Environment","2",40,"United Kingdom","Routledge","1982-2020",0.00076,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,12,26,26,"46%","0%","46% (12)","0% (0)","7","20","35.0%","35.0% (7)","0","1","0.0%","0.0% (0)","5","6","83.3%","83.3% (5)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"4","15.4%","15.4% (4)",NA,NA,NA,"4","15.4%","15.4% (4)",NA,NA,NA,NA,NA,NA,"18","69.2%","69.2% (18)","25","96.2%","96.2% (25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3.8%","3.8% (1)","18","69.2%","69.2% (18)","4","15.4%","15.4% (4)",NA,NA,NA,NA,NA,NA,"4","15.4%","15.4% (4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","7.7%","7.7% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","92.3%","92.3% (24)"
"589","URBAN STUDIES","Environment","2.828",147,"United Kingdom","SAGE Publications Ltd","1964-2020",0.01225,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,14,27,27,"52%","0%","52% (14)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","14","27","51.9%","51.9% (14)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,"2","7.4%","7.4% (2)","6","22.2%","22.2% (6)",NA,NA,NA,"8","29.6%","29.6% (8)","4","14.8%","14.8% (4)",NA,NA,NA,"7","25.9%","25.9% (7)","21","77.8%","77.8% (21)",NA,NA,NA,"3","11.1%","11.1% (3)",NA,NA,NA,"3","11.1%","11.1% (3)","9","33.3%","33.3% (9)","8","29.6%","29.6% (8)",NA,NA,NA,NA,NA,NA,"6","22.2%","22.2% (6)","2","7.4%","7.4% (2)","2","7.4%","7.4% (2)",NA,NA,NA,"2","7.4%","7.4% (2)","7","25.9%","25.9% (7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","66.7%","66.7% (18)"
"590","Utilities Policy","Environment","1.835",51,"United Kingdom","Elsevier BV","1990-1995, 1997-2001, 2003-2020",0.00233,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,4,14,14,"28%","0%","28% (4)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","4","14","28.6%","28.6% (4)","1","1","100.0%","100.0% (1)",NA,NA,NA,NA,NA,NA,NA,"4","28.6%","28.6% (4)","1","7.1%","7.1% (1)","9","64.3%","64.3% (9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","100.0%","100.0% (14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","64.3%","64.3% (9)",NA,NA,NA,"1","7.1%","7.1% (1)","4","28.6%","28.6% (4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7.1%","7.1% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","92.9%","92.9% (13)"
